trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
208,06:15:00,06:15:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
208,06:20:00,06:20:00,70022,2,San Jose Diridon,0,0,2521.94934933267,1,,,,,1,1,,,,
208,06:25:00,06:25:00,70032,3,San Jose Diridon,0,0,8397.84794910678,1,,,,,1,1,,,,
208,06:32:00,06:32:00,70042,4,San Jose Diridon,0,0,15088.0092277266,1,,,,,1,1,,,,
208,06:36:00,06:36:00,70052,5,San Jose Diridon,0,0,18052.8628122446,1,,,,,1,1,,,,
208,06:40:00,06:40:00,70062,6,San Jose Diridon,0,0,22207.6548813605,1,,,,,1,1,,,,
208,06:44:00,06:44:00,70082,7,San Jose Diridon,0,0,26519.480031524,1,,,,,1,1,,,,
208,06:47:00,06:47:00,70092,8,San Jose Diridon,0,0,28827.3276430155,1,,,,,1,1,,,,
208,06:51:00,06:51:00,70102,9,San Jose Diridon,0,0,30976.3197680702,1,,,,,1,1,,,,
208,06:58:00,06:58:00,70122,10,San Jose Diridon,0,0,35666.4021022917,1,,,,,1,1,,,,
208,07:01:00,07:01:00,70132,11,San Jose Diridon,0,0,37656.6416999767,1,,,,,1,1,,,,
208,07:06:00,07:06:00,70142,12,San Jose Diridon,0,0,41149.2598216519,1,,,,,1,1,,,,
208,07:11:00,07:11:00,70162,13,San Jose Diridon,0,0,46749.826533835,1,,,,,1,1,,,,
208,07:15:00,07:15:00,70172,14,San Jose Diridon,0,0,48761.2088485237,1,,,,,1,1,,,,
208,07:19:00,07:19:00,70192,15,San Jose Diridon,0,0,51309.4787532993,1,,,,,1,1,,,,
208,07:23:00,07:23:00,70202,16,San Jose Diridon,0,0,55249.1638642551,1,,,,,1,1,,,,
208,07:28:00,07:28:00,70212,17,San Jose Diridon,0,0,58357.5781396187,1,,,,,1,1,,,,
208,07:33:00,07:33:00,70222,18,San Jose Diridon,0,0,62670.0955597657,1,,,,,1,1,,,,
208,07:37:00,07:37:00,70232,19,San Jose Diridon,0,0,65860.0393332122,1,,,,,1,1,,,,
208,07:42:00,07:42:00,70242,20,San Jose Diridon,0,0,71749.7194646974,1,,,,,1,1,,,,
208,07:50:00,07:50:00,70262,21,San Jose Diridon,0,0,75875.0072696699,1,,,,,1,1,,,,
218,07:15:00,07:15:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
218,07:20:00,07:20:00,70022,2,San Jose Diridon,0,0,2521.94934933267,1,,,,,1,1,,,,
218,07:25:00,07:25:00,70032,3,San Jose Diridon,0,0,8397.84794910678,1,,,,,1,1,,,,
218,07:32:00,07:32:00,70042,4,San Jose Diridon,0,0,15088.0092277266,1,,,,,1,1,,,,
218,07:36:00,07:36:00,70052,5,San Jose Diridon,0,0,18052.8628122446,1,,,,,1,1,,,,
218,07:40:00,07:40:00,70062,6,San Jose Diridon,0,0,22207.6548813605,1,,,,,1,1,,,,
218,07:44:00,07:44:00,70082,7,San Jose Diridon,0,0,26519.480031524,1,,,,,1,1,,,,
218,07:47:00,07:47:00,70092,8,San Jose Diridon,0,0,28827.3276430155,1,,,,,1,1,,,,
218,07:51:00,07:51:00,70102,9,San Jose Diridon,0,0,30976.3197680702,1,,,,,1,1,,,,
218,07:58:00,07:58:00,70122,10,San Jose Diridon,0,0,35666.4021022917,1,,,,,1,1,,,,
218,08:01:00,08:01:00,70132,11,San Jose Diridon,0,0,37656.6416999767,1,,,,,1,1,,,,
218,08:06:00,08:06:00,70142,12,San Jose Diridon,0,0,41149.2598216519,1,,,,,1,1,,,,
218,08:11:00,08:11:00,70162,13,San Jose Diridon,0,0,46749.826533835,1,,,,,1,1,,,,
218,08:15:00,08:15:00,70172,14,San Jose Diridon,0,0,48761.2088485237,1,,,,,1,1,,,,
218,08:19:00,08:19:00,70192,15,San Jose Diridon,0,0,51309.4787532993,1,,,,,1,1,,,,
